iter	Passed	Remaining
0	59	59706
1	106	52958
2	162	54025
3	208	51972
4	273	54469
5	340	56409
6	406	57700
7	462	57389
8	526	57949
9	582	57640
10	635	57167
11	681	56124
12	738	56074
13	803	56592
14	856	56219
15	935	57529
16	993	57462
17	1043	56933
18	1113	57473
19	1172	57435
20	1222	57009
21	1271	56534
22	1312	55748
23	1354	55064
24	1397	54504
25	1439	53910
26	1490	53730
27	1532	53205
28	1575	52767
29	1619	52364
30	1680	52530
31	1752	53007
32	1796	52644
33	1837	52205
34	1883	51929
35	1927	51608
36	1969	51265
37	2016	51039
38	2075	51152
39	2136	51276
40	2188	51182
41	2232	50920
42	2302	51239
43	2366	51424
44	2411	51168
45	2465	51128
46	2530	51318
47	2596	51498
48	2641	51268
49	2687	51065
50	2740	51001
51	2803	51105
52	2850	50934
53	2895	50728
54	2957	50823
55	3018	50888
56	3069	50782
57	3161	51353
58	3204	51116
59	3254	50992
60	3308	50924
61	3350	50696
62	3401	50585
63	3455	50530
64	3497	50303
65	3556	50333
66	3597	50098
67	3652	50056
68	3694	49855
69	3740	49694
70	3782	49498
71	3826	49319
72	3871	49167
73	3917	49023
74	3963	48880
75	4008	48736
76	4052	48578
77	4095	48411
78	4156	48458
79	4234	48696
80	4275	48508
81	4315	48312
82	4357	48141
83	4398	47968
84	4440	47796
85	4481	47627
86	4523	47468
87	4564	47305
88	4606	47148
89	4648	47001
90	4687	46819
91	4725	46641
92	4766	46488
93	4809	46353
94	4854	46245
95	4922	46350
96	4988	46437
97	5032	46321
98	5082	46255
99	5126	46138
100	5172	46038
101	5216	45929
102	5262	45831
103	5309	45747
104	5356	45656
105	5401	45552
106	5455	45529
107	5504	45465
108	5556	45419
109	5605	45352
110	5654	45286
111	5700	45194
112	5744	45094
113	5790	45003
114	5840	44943
115	5889	44879
116	5960	44983
117	6006	44898
118	6051	44797
119	6095	44701
120	6159	44743
121	6204	44651
122	6262	44653
123	6318	44636
124	6367	44575
125	6415	44500
126	6461	44413
127	6511	44358
128	6581	44439
129	6651	44513
130	6701	44453
131	6751	44398
132	6795	44299
133	6839	44202
134	6905	44248
135	6971	44289
136	7026	44260
137	7086	44267
138	7145	44258
139	7195	44201
140	7247	44154
141	7296	44089
142	7357	44094
143	7419	44106
144	7462	44002
145	7503	43890
146	7544	43779
147	7587	43681
148	7628	43567
149	7670	43465
150	7727	43447
151	7770	43350
152	7840	43402
153	7889	43343
154	7940	43291
155	7982	43186
156	8041	43178
157	8082	43070
158	8139	43051
159	8197	43036
160	8237	42928
161	8280	42832
162	8320	42727
163	8372	42677
164	8413	42577
165	8465	42530
166	8527	42533
167	8568	42436
168	8611	42345
169	8668	42322
170	8709	42224
171	8751	42128
172	8792	42033
173	8834	41939
174	8875	41843
175	8924	41783
176	8968	41700
177	9009	41607
178	9052	41517
179	9116	41530
180	9158	41442
181	9202	41360
182	9244	41272
183	9286	41185
184	9330	41105
185	9374	41026
186	9415	40936
187	9477	40935
188	9521	40857
189	9582	40852
190	9633	40803
191	9676	40722
192	9727	40672
193	9786	40661
194	9828	40575
195	9891	40576
196	9934	40495
197	9994	40482
198	10034	40389
199	10102	40408
200	10173	40442
201	10234	40431
202	10275	40342
203	10317	40258
204	10379	40251
205	10422	40173
206	10464	40089
207	10508	40011
208	10549	39925
209	10591	39843
210	10633	39764
211	10677	39688
212	10719	39606
213	10762	39529
214	10809	39467
215	10862	39428
216	10903	39343
217	10945	39264
218	10988	39187
219	11033	39118
220	11079	39052
221	11127	38995
222	11178	38948
223	11239	38938
224	11284	38868
225	11328	38799
226	11371	38723
227	11411	38637
228	11454	38565
229	11497	38492
230	11561	38488
231	11603	38412
232	11645	38335
233	11708	38328
234	11778	38342
235	11850	38362
236	11914	38357
237	11970	38325
238	12020	38275
239	12070	38222
240	12120	38172
241	12180	38151
242	12232	38106
243	12275	38034
244	12318	37961
245	12357	37876
246	12418	37857
247	12459	37781
248	12501	37705
249	12543	37629
250	12607	37621
251	12659	37576
252	12719	37555
253	12787	37556
254	12843	37522
255	12885	37449
256	12928	37377
257	12977	37321
258	13017	37242
259	13078	37223
260	13120	37150
261	13171	37102
262	13234	37086
263	13290	37053
264	13334	36985
265	13376	36912
266	13440	36898
267	13482	36824
268	13522	36746
269	13563	36670
270	13603	36595
271	13646	36524
272	13717	36528
273	13761	36462
274	13809	36407
275	13850	36332
276	13892	36260
277	13933	36187
278	14018	36226
279	14066	36171
280	14113	36112
281	14178	36100
282	14224	36039
283	14275	35990
284	14342	35981
285	14385	35913
286	14428	35845
287	14492	35827
288	14546	35787
289	14598	35740
290	14667	35736
291	14713	35675
292	14758	35612
293	14823	35597
294	14867	35531
295	14910	35461
296	14954	35398
297	15025	35395
298	15096	35394
299	15155	35363
300	15214	35332
301	15280	35316
302	15323	35248
303	15377	35206
304	15429	35159
305	15473	35093
306	15530	35057
307	15573	34990
308	15618	34927
309	15660	34857
310	15721	34830
311	15765	34764
312	15808	34698
313	15851	34631
314	15915	34609
315	15962	34551
316	16028	34534
317	16089	34507
318	16132	34438
319	16196	34416
320	16238	34348
321	16279	34278
322	16327	34222
323	16373	34162
324	16429	34121
325	16486	34086
326	16551	34064
327	16592	33994
328	16649	33957
329	16689	33884
